region,age_group,coverage_rate,report_date,gender
South,18+ years,51.66,2023-08-25,Female
East,6-12 years,50.63,2023-03-15,Male
North,18+ years,66.95,2023-01-28,Male
Centre,0-5 years,60.81,2023-09-26,Male
West,0-5 years,74.75,2023-06-26,Male
West,0-5 years,69.15,2023-10-23,Male
West,6-12 years,82.07,2023-04-14,Male
East,6-12 years,78.07,2023-09-11,Male
West,18+ years,84.8,2023-07-16,Female
North,6-12 years,69.5,2023-06-28,Female
North,0-5 years,94.61,2023-03-12,Male
East,6-12 years,79.78,2023-07-14,Male
East,6-12 years,72.84,2023-07-24,Female
South,13-17 years,82.48,2023-12-28,Female
North,6-12 years,60.83,2023-01-09,Female
South,0-5 years,70.33,2023-06-01,Male
North,6-12 years,83.95,2023-02-20,Female
East,0-5 years,67.88,2023-11-20,Female
South,13-17 years,72.48,2023-10-06,Male
East,18+ years,93.21,2023-11-09,Female
Centre,0-5 years,86.32,2023-07-10,Male
West,6-12 years,53.94,2023-06-16,Female
West,18+ years,55.72,2023-03-13,Male
East,6-12 years,64.18,2023-09-11,Male
North,0-5 years,64.74,2023-07-14,Female
South,6-12 years,80.11,2023-01-28,Female
West,18+ years,54.84,2023-07-05,Male
Centre,18+ years,73.11,2023-08-05,Male
South,13-17 years,96.85,2023-03-04,Female
East,6-12 years,93.87,2023-02-22,Male
East,6-12 years,88.18,2023-03-12,Male
Centre,0-5 years,76.81,2023-01-14,Female
East,18+ years,90.12,2023-02-07,Male
South,18+ years,84.32,2023-03-10,Male
South,0-5 years,78.21,2023-10-30,Male
West,6-12 years,92.5,2023-11-04,Female
South,18+ years,88.91,2023-09-12,Female
South,6-12 years,56.5,2023-07-17,Female
Centre,0-5 years,92.0,2023-01-06,Male
North,6-12 years,71.03,2023-01-13,Male
East,6-12 years,80.64,2023-08-16,Female
West,6-12 years,50.85,2023-10-03,Male
North,6-12 years,79.97,2023-05-26,Female
West,6-12 years,67.35,2023-10-19,Male
South,13-17 years,54.32,2023-08-31,Female
Centre,0-5 years,51.3,2023-06-28,Female
West,6-12 years,63.19,2023-11-29,Male
Centre,13-17 years,98.81,2023-04-04,Male
North,18+ years,57.03,2023-05-11,Male
South,18+ years,84.91,2023-07-25,Female
West,18+ years,99.77,2023-05-04,Female
South,18+ years,53.99,2023-01-19,Male
West,18+ years,70.66,2023-09-14,Male
Centre,18+ years,87.37,2023-06-21,Female
East,13-17 years,56.19,2023-04-15,Female
East,0-5 years,99.39,2023-07-15,Female
South,6-12 years,87.04,2023-04-07,Male
East,0-5 years,87.2,2023-04-25,Male
West,0-5 years,78.31,2023-04-16,Female
North,0-5 years,72.1,2023-05-17,Male
West,6-12 years,99.37,2023-12-20,Male
South,18+ years,73.16,2023-10-30,Female
South,0-5 years,54.96,2023-03-12,Female
East,18+ years,99.63,2023-08-07,Male
South,0-5 years,96.0,2023-10-31,Male
South,18+ years,81.19,2023-10-08,Female
West,13-17 years,99.06,2023-09-21,Female
North,18+ years,57.77,2023-09-21,Male
North,13-17 years,57.66,2023-08-26,Female
South,0-5 years,71.7,2023-10-10,Female
East,18+ years,94.94,2023-04-13,Female
West,18+ years,63.69,2023-08-11,Female
South,6-12 years,53.06,2023-04-06,Male
West,6-12 years,74.08,2023-04-12,Female
South,13-17 years,79.25,2023-08-05,Female
South,6-12 years,99.78,2023-01-03,Female
North,18+ years,56.97,2023-09-20,Female
Centre,6-12 years,55.47,2023-10-17,Female
North,18+ years,66.24,2023-01-31,Male
North,0-5 years,83.94,2023-02-11,Female
Centre,13-17 years,77.16,2023-04-01,Female
Centre,18+ years,62.44,2023-06-09,Female
South,6-12 years,50.96,2023-10-04,Male
South,13-17 years,79.85,2023-02-13,Male
Centre,6-12 years,58.31,2023-01-01,Male
Centre,13-17 years,73.48,2023-04-07,Female
North,0-5 years,60.61,2023-06-20,Male
West,13-17 years,59.23,2023-04-16,Male
West,0-5 years,50.82,2023-01-16,Male
North,18+ years,73.28,2023-02-06,Male
South,18+ years,98.35,2023-11-01,Male
North,0-5 years,56.62,2023-09-26,Female
North,18+ years,85.93,2023-12-31,Male
Centre,6-12 years,58.97,2023-05-16,Male
South,6-12 years,97.82,2023-05-17,Female
West,6-12 years,81.03,2023-02-03,Male
South,13-17 years,64.62,2023-04-15,Male
North,13-17 years,78.54,2023-07-10,Male
Centre,18+ years,86.49,2023-09-13,Female
Centre,13-17 years,71.7,2023-09-06,Female
East,18+ years,75.07,2023-08-15,Female
Centre,13-17 years,87.66,2023-05-30,Male
South,0-5 years,94.46,2023-01-31,Male
West,0-5 years,76.42,2023-01-24,Male
West,6-12 years,56.51,2023-04-24,Female
Centre,13-17 years,79.37,2023-12-09,Male
North,0-5 years,58.52,2023-04-08,Female
East,6-12 years,59.22,2023-05-10,Male
North,18+ years,55.5,2023-10-15,Female
West,18+ years,73.14,2023-01-10,Male
West,18+ years,50.87,2023-04-11,Male
Centre,13-17 years,67.69,2023-11-16,Male
West,13-17 years,72.0,2023-11-03,Male
South,13-17 years,71.98,2023-08-12,Female
South,6-12 years,92.1,2023-04-20,Female
West,13-17 years,72.01,2023-09-05,Female
East,18+ years,75.36,2023-02-13,Female
North,18+ years,72.63,2023-06-18,Female
North,0-5 years,77.54,2023-04-15,Female
West,18+ years,81.91,2023-09-16,Male
West,6-12 years,68.54,2023-07-02,Female
Centre,0-5 years,76.39,2023-10-05,Female
North,13-17 years,71.2,2023-06-05,Male
West,0-5 years,91.74,2023-03-15,Male
North,13-17 years,78.98,2023-03-04,Female
North,0-5 years,69.71,2023-02-22,Male
West,18+ years,51.19,2023-10-19,Male
East,6-12 years,68.16,2023-01-01,Female
West,13-17 years,86.61,2023-09-24,Male
East,18+ years,99.46,2023-11-01,Female
East,6-12 years,92.82,2023-08-25,Male
East,6-12 years,54.53,2023-07-16,Male
South,6-12 years,77.02,2023-08-01,Female
South,18+ years,93.62,2023-11-14,Female
East,13-17 years,63.01,2023-06-09,Male
East,18+ years,55.41,2023-07-08,Female
East,18+ years,90.71,2023-10-26,Male
North,0-5 years,51.26,2023-02-14,Male
North,13-17 years,52.46,2023-11-12,Male
Centre,0-5 years,99.07,2023-12-27,Female
West,6-12 years,53.3,2023-05-23,Female
West,13-17 years,93.5,2023-01-02,Female
North,0-5 years,99.13,2023-02-27,Female
Centre,13-17 years,59.91,2023-02-17,Female
South,18+ years,65.4,2023-07-17,Male
West,13-17 years,82.44,2023-09-15,Female
Centre,0-5 years,88.73,2023-10-01,Male
North,18+ years,54.11,2023-02-04,Male
Centre,18+ years,62.19,2023-02-27,Male
South,6-12 years,71.51,2023-06-28,Female
South,13-17 years,55.66,2023-03-10,Female
South,13-17 years,55.51,2023-06-14,Male
South,6-12 years,89.56,2023-12-21,Female
East,13-17 years,94.54,2023-07-31,Female
West,0-5 years,75.24,2023-12-01,Male
Centre,13-17 years,74.55,2023-03-09,Female
North,18+ years,86.54,2023-09-06,Female
South,0-5 years,76.05,2023-01-09,Female
West,6-12 years,65.31,2023-06-10,Female
Centre,18+ years,53.2,2023-05-01,Female
South,18+ years,88.51,2023-05-13,Male
South,0-5 years,80.36,2023-07-19,Female
South,0-5 years,50.97,2023-01-29,Male
East,18+ years,68.0,2023-03-13,Female
Centre,13-17 years,77.39,2023-04-10,Male
West,0-5 years,64.26,2023-10-21,Male
West,18+ years,63.49,2023-12-19,Female
Centre,6-12 years,73.32,2023-07-21,Male
South,18+ years,57.38,2023-09-12,Female
Centre,6-12 years,84.22,2023-06-23,Male
West,6-12 years,65.14,2023-08-16,Female
Centre,6-12 years,82.91,2023-09-05,Female
Centre,13-17 years,73.9,2023-07-28,Female
South,18+ years,50.65,2023-09-19,Female
Centre,18+ years,52.35,2023-11-20,Male
North,0-5 years,78.97,2023-02-07,Female
West,13-17 years,69.88,2023-04-11,Male
East,0-5 years,54.73,2023-08-11,Male
Centre,0-5 years,82.61,2023-11-14,Female
Centre,13-17 years,55.62,2023-05-09,Male
North,18+ years,67.41,2023-12-06,Male
West,18+ years,88.95,2023-04-04,Male
East,18+ years,78.76,2023-11-17,Male
Centre,0-5 years,62.72,2023-06-21,Male
West,6-12 years,90.03,2023-11-18,Male
East,13-17 years,59.66,2023-09-18,Female
North,6-12 years,78.82,2023-09-10,Male
South,13-17 years,64.72,2023-11-30,Male
South,6-12 years,66.47,2023-10-16,Female
East,13-17 years,56.08,2023-03-20,Female
West,18+ years,91.97,2023-12-28,Female
North,0-5 years,76.09,2023-06-13,Male
West,18+ years,53.17,2023-02-03,Female
North,6-12 years,73.55,2023-12-06,Female
West,18+ years,63.71,2023-09-05,Male
North,18+ years,83.73,2023-02-09,Male
West,13-17 years,82.56,2023-04-14,Male
West,13-17 years,88.72,2023-11-11,Male
West,6-12 years,52.94,2023-02-25,Female
West,13-17 years,62.37,2023-06-26,Male
East,0-5 years,96.23,2023-09-25,Male
East,13-17 years,74.48,2023-10-10,Male
South,6-12 years,62.1,2023-09-08,Female
South,13-17 years,89.71,2023-02-19,Female
East,0-5 years,95.5,2023-08-23,Male
West,6-12 years,77.76,2023-11-13,Female
West,18+ years,82.2,2023-05-04,Female
West,6-12 years,84.19,2023-07-18,Female
South,13-17 years,67.37,2023-10-07,Male
West,13-17 years,97.9,2023-11-20,Female
South,6-12 years,72.04,2023-07-09,Female
North,6-12 years,69.6,2023-01-16,Male
North,0-5 years,80.7,2023-05-01,Male
South,18+ years,65.08,2023-04-06,Female
North,6-12 years,66.35,2023-09-16,Female
Centre,0-5 years,70.8,2023-08-27,Female
Centre,0-5 years,85.06,2023-01-26,Female
North,0-5 years,70.89,2023-07-25,Female
West,6-12 years,74.62,2023-03-18,Female
North,13-17 years,82.59,2023-01-16,Male
Centre,6-12 years,73.79,2023-08-30,Female
West,0-5 years,52.35,2023-06-08,Male
East,0-5 years,58.68,2023-03-21,Female
East,0-5 years,89.8,2023-06-02,Male
Centre,18+ years,76.88,2023-07-01,Male
South,13-17 years,65.89,2023-03-24,Female
North,18+ years,64.55,2023-11-21,Female
North,0-5 years,97.35,2023-07-07,Male
South,13-17 years,95.49,2023-01-01,Male
South,18+ years,94.04,2023-04-12,Female
West,0-5 years,69.88,2023-04-18,Female
South,0-5 years,66.19,2023-07-27,Female
East,18+ years,59.07,2023-08-12,Male
East,18+ years,55.41,2023-03-12,Male
South,0-5 years,70.16,2023-12-17,Male
North,6-12 years,61.07,2023-04-14,Female
South,18+ years,79.3,2023-05-11,Male
Centre,6-12 years,66.08,2023-02-17,Male
West,18+ years,67.25,2023-08-27,Female
Centre,13-17 years,92.36,2023-05-07,Female
West,6-12 years,62.45,2023-01-10,Female
North,13-17 years,53.76,2023-08-15,Female
South,13-17 years,86.03,2023-12-01,Male
Centre,13-17 years,99.43,2023-05-22,Male
North,0-5 years,62.67,2023-07-03,Male
Centre,6-12 years,95.32,2023-10-17,Female
North,18+ years,81.22,2023-07-14,Male
North,13-17 years,81.74,2023-08-11,Female
Centre,0-5 years,62.15,2023-09-04,Male
Centre,13-17 years,55.57,2023-07-27,Female
North,18+ years,92.64,2023-06-30,Female
South,13-17 years,92.82,2023-05-03,Male
East,0-5 years,82.14,2023-06-23,Female
South,6-12 years,71.7,2023-11-17,Female
North,6-12 years,84.67,2023-07-08,Male
North,0-5 years,71.44,2023-04-24,Female
South,6-12 years,68.51,2023-09-10,Male
West,6-12 years,62.46,2023-09-15,Male
North,0-5 years,87.88,2023-09-30,Male
Centre,18+ years,94.98,2023-10-29,Female
East,13-17 years,81.87,2023-01-23,Male
West,13-17 years,61.11,2023-07-23,Female
West,18+ years,72.05,2023-01-30,Female
East,18+ years,62.27,2023-01-18,Female
East,18+ years,69.02,2023-05-31,Male
Centre,0-5 years,76.32,2023-03-28,Male
South,13-17 years,72.58,2023-03-03,Male
East,18+ years,95.66,2023-04-24,Female
Centre,13-17 years,59.97,2023-01-02,Female
Centre,18+ years,62.42,2023-10-10,Female
South,0-5 years,60.01,2023-07-28,Male
Centre,0-5 years,68.77,2023-06-06,Female
West,13-17 years,79.66,2023-08-29,Male
South,18+ years,87.18,2023-04-23,Male
South,0-5 years,61.53,2023-04-24,Male
East,18+ years,75.3,2023-02-16,Male
Centre,13-17 years,57.87,2023-08-25,Male
East,18+ years,65.8,2023-05-09,Male
Centre,6-12 years,86.77,2023-11-28,Female
South,13-17 years,91.83,2023-07-05,Male
Centre,13-17 years,57.98,2023-09-25,Male
North,6-12 years,88.98,2023-04-21,Male
South,0-5 years,65.89,2023-09-06,Female
South,0-5 years,66.28,2023-05-28,Female
East,18+ years,56.45,2023-02-26,Female
West,13-17 years,54.53,2023-06-08,Male
East,18+ years,73.32,2023-11-25,Male
Centre,18+ years,50.85,2023-02-14,Female
East,18+ years,95.88,2023-08-20,Male
South,13-17 years,83.34,2023-11-14,Female
East,6-12 years,71.22,2023-05-26,Male
East,18+ years,88.04,2023-11-20,Male
North,6-12 years,67.99,2023-04-13,Female
South,6-12 years,93.22,2023-12-19,Female
North,18+ years,56.45,2023-05-14,Male
East,18+ years,52.65,2023-11-03,Male
South,6-12 years,86.19,2023-09-10,Female
Centre,18+ years,74.18,2023-01-26,Male
North,0-5 years,53.65,2023-03-24,Male
South,18+ years,60.63,2023-04-13,Female
South,13-17 years,72.94,2023-01-10,Male
South,13-17 years,87.06,2023-08-09,Female
Centre,6-12 years,83.72,2023-07-24,Female
East,0-5 years,89.11,2023-03-21,Female
Centre,13-17 years,75.38,2023-09-04,Female
South,0-5 years,81.99,2023-08-13,Female
South,18+ years,85.23,2023-04-11,Female
West,13-17 years,91.08,2023-12-10,Female
East,0-5 years,71.43,2023-02-17,Female
North,6-12 years,70.46,2023-01-13,Female
Centre,18+ years,57.45,2023-07-21,Male
Centre,0-5 years,60.78,2023-11-14,Female
Centre,0-5 years,83.67,2023-01-09,Male
East,0-5 years,62.34,2023-10-13,Female
East,6-12 years,52.84,2023-05-09,Female
West,0-5 years,82.16,2023-05-12,Male
West,13-17 years,69.91,2023-08-12,Male
North,6-12 years,83.1,2023-04-24,Female
West,13-17 years,90.32,2023-09-18,Female
South,18+ years,78.32,2023-03-26,Male
West,13-17 years,83.13,2023-03-17,Male
West,18+ years,96.13,2023-10-02,Male
East,6-12 years,81.88,2023-01-19,Female
Centre,13-17 years,50.16,2023-07-20,Male
West,18+ years,81.42,2023-09-08,Male
Centre,0-5 years,80.04,2023-05-24,Female
Centre,18+ years,90.66,2023-02-10,Female
East,18+ years,79.36,2023-11-11,Male
East,6-12 years,92.61,2023-01-04,Male
East,13-17 years,56.58,2023-11-30,Female
North,18+ years,73.85,2023-11-02,Female
Centre,13-17 years,56.01,2023-11-17,Female
West,6-12 years,85.59,2023-09-29,Male
North,13-17 years,69.99,2023-03-08,Female
East,6-12 years,86.26,2023-03-15,Male
South,0-5 years,58.34,2023-08-21,Female
West,6-12 years,98.96,2023-07-16,Female
South,13-17 years,68.05,2023-11-09,Male
East,18+ years,91.54,2023-02-04,Female
South,0-5 years,93.89,2023-10-25,Male
East,13-17 years,67.26,2023-08-07,Female
East,13-17 years,57.38,2023-02-13,Female
South,13-17 years,55.33,2023-08-26,Male
West,18+ years,55.68,2023-05-31,Male
West,13-17 years,58.21,2023-09-09,Female
South,0-5 years,70.5,2023-02-07,Female
West,13-17 years,56.63,2023-02-19,Female
Centre,6-12 years,78.59,2023-04-28,Male
South,18+ years,94.09,2023-09-27,Female
South,6-12 years,56.29,2023-06-11,Male
West,18+ years,98.78,2023-09-19,Female
South,0-5 years,52.21,2023-11-07,Female
East,0-5 years,97.84,2023-12-21,Male
East,13-17 years,75.48,2023-04-06,Male
Centre,6-12 years,91.43,2023-05-29,Female
East,13-17 years,78.07,2023-07-08,Male
North,13-17 years,58.44,2023-07-18,Female
East,13-17 years,80.05,2023-12-06,Female
Centre,0-5 years,76.67,2023-12-03,Male
Centre,0-5 years,56.54,2023-07-28,Female
East,6-12 years,81.36,2023-07-16,Male
North,6-12 years,94.8,2023-01-01,Female
South,6-12 years,72.78,2023-09-09,Female
West,0-5 years,89.27,2023-10-03,Female
East,6-12 years,78.86,2023-05-28,Female
East,13-17 years,91.64,2023-12-03,Male
East,13-17 years,57.78,2023-04-15,Female
North,0-5 years,66.88,2023-05-08,Male
South,6-12 years,51.17,2023-04-12,Female
West,0-5 years,66.29,2023-03-30,Male
East,13-17 years,92.04,2023-07-29,Male
South,6-12 years,90.84,2023-05-06,Male
South,0-5 years,93.49,2023-03-04,Female
North,13-17 years,94.25,2023-11-09,Male
Centre,13-17 years,74.61,2023-05-21,Female
East,0-5 years,54.3,2023-03-07,Male
North,13-17 years,52.65,2023-10-27,Male
West,18+ years,76.8,2023-10-14,Male
South,18+ years,72.49,2023-05-16,Female
East,13-17 years,99.26,2023-07-09,Female
Centre,6-12 years,62.12,2023-03-03,Female
South,18+ years,55.62,2023-11-17,Female
West,18+ years,52.18,2023-09-25,Female
North,18+ years,71.57,2023-12-02,Female
Centre,6-12 years,64.34,2023-06-10,Male
North,6-12 years,51.89,2023-01-04,Female
West,0-5 years,73.79,2023-09-14,Male
East,13-17 years,95.82,2023-04-25,Female
North,18+ years,67.63,2023-09-16,Female
West,0-5 years,61.39,2023-03-10,Female
South,6-12 years,79.0,2023-11-30,Female
Centre,0-5 years,97.57,2023-08-21,Male
Centre,18+ years,91.91,2023-10-28,Male
South,13-17 years,81.77,2023-07-03,Female
East,18+ years,52.5,2023-09-10,Male
West,0-5 years,55.39,2023-09-13,Male
West,13-17 years,69.98,2023-07-25,Male
South,6-12 years,77.8,2023-12-30,Female
North,6-12 years,80.7,2023-08-21,Female
Centre,0-5 years,87.59,2023-06-11,Male
West,6-12 years,96.03,2023-01-08,Male
West,13-17 years,79.43,2023-12-14,Female
North,13-17 years,77.02,2023-02-18,Male
West,0-5 years,68.93,2023-10-19,Female
East,0-5 years,93.58,2023-09-22,Female
West,0-5 years,87.55,2023-05-03,Female
North,13-17 years,63.29,2023-10-15,Female
South,13-17 years,79.3,2023-05-30,Female
South,18+ years,58.52,2023-05-29,Male
North,18+ years,59.59,2023-06-08,Male
Centre,18+ years,67.4,2023-05-12,Male
South,18+ years,87.6,2023-06-11,Male
North,0-5 years,80.15,2023-02-01,Male
West,6-12 years,97.06,2023-12-12,Female
East,18+ years,73.58,2023-01-20,Female
West,6-12 years,82.02,2023-05-14,Male
East,13-17 years,72.04,2023-10-29,Female
West,18+ years,62.73,2023-09-02,Female
South,18+ years,85.8,2023-02-04,Male
West,13-17 years,91.07,2023-10-12,Male
East,13-17 years,92.2,2023-01-01,Male
North,18+ years,85.8,2023-08-23,Male
East,6-12 years,56.74,2023-12-01,Female
Centre,6-12 years,68.87,2023-01-12,Male
West,0-5 years,51.06,2023-05-24,Female
West,13-17 years,84.32,2023-06-20,Male
South,13-17 years,89.76,2023-03-08,Male
West,18+ years,81.93,2023-02-23,Female
West,0-5 years,64.18,2023-12-21,Male
Centre,6-12 years,68.18,2023-07-08,Male
North,6-12 years,89.64,2023-03-12,Female
North,0-5 years,92.46,2023-03-13,Male
Centre,0-5 years,54.29,2023-07-20,Male
West,0-5 years,62.8,2023-09-01,Female
South,13-17 years,57.76,2023-01-15,Female
South,6-12 years,83.33,2023-10-31,Female
East,6-12 years,83.35,2023-10-16,Male
South,13-17 years,61.34,2023-12-08,Male
South,0-5 years,52.87,2023-06-08,Female
North,0-5 years,99.81,2023-09-30,Female
West,13-17 years,99.93,2023-11-14,Male
East,0-5 years,51.44,2023-10-10,Female
North,6-12 years,51.64,2023-03-31,Female
Centre,18+ years,51.24,2023-09-13,Male
North,18+ years,76.79,2023-02-20,Male
South,0-5 years,96.54,2023-07-01,Female
East,13-17 years,50.85,2023-05-07,Female
West,0-5 years,56.91,2023-08-28,Male
South,18+ years,85.17,2023-09-01,Male
South,0-5 years,51.76,2023-04-23,Male
West,13-17 years,58.67,2023-05-21,Male
East,0-5 years,78.01,2023-04-01,Male
North,6-12 years,71.97,2023-06-05,Female
Centre,0-5 years,91.46,2023-03-10,Female
North,13-17 years,75.23,2023-05-12,Female
South,13-17 years,93.65,2023-10-12,Male
South,0-5 years,52.58,2023-07-14,Male
Centre,6-12 years,51.84,2023-04-03,Male
West,13-17 years,55.27,2023-05-12,Female
Centre,13-17 years,90.17,2023-09-15,Female
North,0-5 years,61.64,2023-01-30,Male
West,13-17 years,94.81,2023-02-13,Female
East,0-5 years,92.33,2023-11-27,Female
North,13-17 years,68.11,2023-03-31,Female
South,0-5 years,88.27,2023-03-22,Female
North,0-5 years,68.38,2023-09-01,Female
South,0-5 years,91.6,2023-10-21,Female
South,18+ years,78.25,2023-04-19,Male
North,13-17 years,66.05,2023-02-22,Female
South,6-12 years,65.43,2023-09-27,Female
West,18+ years,90.47,2023-05-04,Male
North,13-17 years,83.27,2023-01-08,Female
North,13-17 years,83.01,2023-05-15,Male
South,18+ years,52.97,2023-05-25,Male
North,0-5 years,85.96,2023-02-09,Male
Centre,0-5 years,59.44,2023-10-18,Female
Centre,18+ years,72.56,2023-09-30,Male
Centre,13-17 years,89.53,2023-08-03,Male
East,13-17 years,53.9,2023-09-21,Female
West,18+ years,97.58,2023-08-01,Female
South,0-5 years,63.51,2023-04-23,Male
South,13-17 years,66.18,2023-08-04,Male
South,18+ years,75.73,2023-09-01,Male
West,6-12 years,98.59,2023-05-26,Male
North,18+ years,57.79,2023-12-17,Female
Centre,18+ years,90.41,2023-10-06,Male
West,13-17 years,93.67,2023-02-27,Male
Centre,13-17 years,91.72,2023-06-18,Female
South,6-12 years,99.0,2023-02-15,Male
North,13-17 years,52.52,2023-09-05,Male
Centre,6-12 years,96.78,2023-10-04,Female
South,18+ years,87.14,2023-02-23,Male
West,0-5 years,63.14,2023-09-01,Male
North,6-12 years,61.36,2023-05-29,Male
Centre,13-17 years,58.26,2023-02-10,Female
East,18+ years,91.62,2023-02-19,Female
South,18+ years,58.79,2023-08-30,Female
North,0-5 years,97.55,2023-11-27,Male
Centre,0-5 years,50.1,2023-08-01,Male
West,0-5 years,61.68,2023-03-25,Male
West,13-17 years,65.04,2023-03-07,Female
West,13-17 years,93.14,2023-11-26,Female
Centre,18+ years,90.63,2023-10-17,Female
West,13-17 years,89.38,2023-06-30,Male
Centre,6-12 years,75.12,2023-09-02,Female
West,6-12 years,50.26,2023-07-07,Female
Centre,6-12 years,85.46,2023-11-19,Male
South,6-12 years,53.34,2023-10-10,Male
West,0-5 years,53.91,2023-06-13,Male
South,6-12 years,73.37,2023-01-16,Female
West,18+ years,80.68,2023-10-02,Female
East,0-5 years,56.21,2023-04-10,Male
West,0-5 years,99.29,2023-02-03,Male
East,13-17 years,82.34,2023-12-15,Female
Centre,0-5 years,68.23,2023-10-07,Male
Centre,13-17 years,57.94,2023-07-05,Male
South,18+ years,91.02,2023-08-31,Male
East,18+ years,98.72,2023-06-14,Male
North,18+ years,65.07,2023-10-31,Female
South,0-5 years,90.56,2023-11-09,Female
East,6-12 years,88.67,2023-02-03,Female
Centre,13-17 years,50.71,2023-12-06,Female
East,18+ years,80.27,2023-02-21,Male
South,6-12 years,69.55,2023-11-15,Male
South,6-12 years,87.3,2023-02-06,Female
North,0-5 years,90.08,2023-03-03,Female
Centre,18+ years,88.4,2023-03-30,Female
Centre,6-12 years,69.09,2023-05-26,Female
North,0-5 years,68.73,2023-09-24,Female
North,0-5 years,94.16,2023-12-11,Female
North,0-5 years,64.12,2023-02-08,Male
East,18+ years,70.41,2023-02-10,Male
South,13-17 years,77.53,2023-10-30,Male
South,18+ years,95.13,2023-07-16,Male
East,0-5 years,99.83,2023-02-19,Male
West,6-12 years,90.79,2023-12-09,Male
West,13-17 years,65.68,2023-03-25,Male
South,18+ years,74.69,2023-09-03,Female
East,13-17 years,76.37,2023-03-22,Female
East,18+ years,99.96,2023-06-27,Female
East,0-5 years,75.8,2023-06-30,Female
West,13-17 years,65.64,2023-12-22,Female
Centre,13-17 years,80.82,2023-04-22,Female
West,6-12 years,91.18,2023-10-31,Male
Centre,6-12 years,77.35,2023-11-05,Male
East,0-5 years,88.75,2023-06-06,Female
Centre,0-5 years,73.92,2023-09-13,Male
Centre,18+ years,59.4,2023-01-22,Male
North,13-17 years,57.09,2023-02-19,Female
West,18+ years,50.62,2023-04-13,Female
Centre,6-12 years,62.86,2023-05-16,Male
West,6-12 years,61.17,2023-05-28,Male
East,0-5 years,87.02,2023-08-26,Female
Centre,18+ years,80.45,2023-05-30,Male
Centre,0-5 years,75.35,2023-01-28,Male
West,13-17 years,94.8,2023-01-11,Male
East,0-5 years,81.3,2023-12-11,Female
West,6-12 years,52.61,2023-05-08,Male
South,0-5 years,98.99,2023-02-05,Female
East,13-17 years,80.96,2023-08-11,Male
North,18+ years,73.94,2023-12-25,Female
West,6-12 years,86.62,2023-06-01,Female
South,13-17 years,81.16,2023-11-26,Female
North,6-12 years,54.84,2023-04-14,Female
East,18+ years,94.76,2023-07-20,Male
Centre,18+ years,74.07,2023-10-31,Female
East,0-5 years,62.37,2023-05-29,Female
South,6-12 years,98.55,2023-10-13,Male
West,18+ years,54.27,2023-05-19,Male
West,6-12 years,99.65,2023-10-26,Male
Centre,18+ years,57.25,2023-09-03,Female
Centre,0-5 years,90.75,2023-11-24,Female
West,18+ years,70.74,2023-06-03,Female
East,0-5 years,54.52,2023-11-04,Male
